grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
402,120.864900499753,-29.568630973769302,0.0,19.791924307876137,5.324070412919499,3,0.5856114896432533,0.40272057056427,0.49416603010376164,0.18289091907898325,14,14,0.5886528127291216,0,Lower
400,120.65638592846555,-29.568630973769302,0.0,20.81524507187456,5.578547831956861,3,0.5227956977384778,0.40246111154556274,0.46262840464202026,0.12033458619291504,15,6,0.6615482440251748,-9,Lower
94,122.42875978440868,-31.09575997125404,0.0,22.372389434587404,19.16780957832895,0,0.49111445781243834,0.40289562940597534,0.44700504360920684,0.088218828406463,16,22,0.4854007779794067,6,Lower
307,120.864900499753,-30.017786561264813,0.0,22.600553241621583,19.60397295501249,3,0.4908124091383658,0.35910388827323914,0.4249581487058025,0.1317085208651267,17,19,0.5295032934598792,2,Lower
113,122.42875978440868,-31.00592885375493,0.0,21.786153210162507,17.353652467875612,0,0.45333449341136517,0.38749900460243225,0.42041674900689874,0.06583548880893292,18,40,0.3935534236524622,22,Lower
228,120.55212864282186,-30.377111031261222,0.0,20.294377666355032,12.085785095989772,1,0.49644268226413074,0.32970914244651794,0.41307591235532437,0.1667335398176128,19,12,0.5990210116143819,-7,Lower
172,120.65638592846555,-30.64660438375853,0.0,25.483609508482672,7.14006574300647,1,0.4444805425355636,0.34439727663993835,0.39443890958775096,0.10008326589562527,20,21,0.4855720730147048,1,Lower
150,122.32450249876496,-30.826266618756733,0.0,26.32348798556896,19.327138824811108,0,0.4353789842439302,0.33381906151771545,0.3845990228808228,0.10155992272621472,21,20,0.4985960786387114,-1,Lower
242,122.01173064183382,-30.377111031261222,0.0,22.049748448805744,2.8560343731353326,2,0.48511475788460623,0.2836747467517853,0.38439475231819575,0.20144001113282095,22,24,0.4735395990149066,2,Lower
383,120.864900499753,-29.658462091268404,0.0,15.118263215298398,9.689615065633314,3,0.5024377785152171,0.22252191603183746,0.3624798472735273,0.27991586248337963,23,18,0.5456683743482776,-5,Lower
