fold,roc_auc,pr_auc,balanced_accuracy,f1
0,0.9439775910364145,0.9496467817896392,0.8347338935574229,0.7916666666666666
1,0.981283422459893,0.9947231833910035,0.8489304812834224,0.9428571428571428
2,0.9056603773584906,0.6188152198678514,0.6811320754716981,0.5
3,0.9837662337662337,0.9715909090909092,0.9545454545454546,0.9523809523809523
4,0.9939271255060729,0.9855769230769229,0.7692307692307692,0.7
