feature,mean_importance,std_importance,top40_folds
outc_Te_logmax_25km,0.0018246989726698499,0.002538187847949877,0
unspec_W_logmedian_25km,0.00182456891707757,0.0012291433081863163,0
unspec_Sb_median_25km,0.001810033092058742,0.0027188557684493953,0
outc_W_logmax_25km,0.0017936978361888542,0.001474423731425173,0
unspec_Mo_max_10km,0.0017274837587365449,0.0007212404394266089,0
unspec_Sb_logmax_25km,0.0017033348970296766,0.001396086222180143,0
unspec_W_median_10km,0.0016838998745293931,0.0013007440724143986,0
outc_Mo_max_25km,0.0016783998361837263,0.0019508403161987082,0
unspec_Zn_median_10km,0.0016773701085065055,0.0008533280114660518,0
outc_Mo_logmax_25km,0.001632567215505739,0.0014340627836697038,0
unspec_W_logmax_10km,0.0016124342612691,0.0004854218399483316,0
outc_W_max_25km,0.0015881837150526102,0.000914029306565819,0
unspec_Pb_median_10km,0.0014747092397736352,0.0007551734964919976,0
unspec_Ars_median_10km,0.0014400581722398003,0.0011090220688535198,0
outc_Bi_median_25km,0.0014308427038736875,0.0014479092595769943,0
unspec_Pb_logmedian_10km,0.0014270406717906685,0.0007846016353825308,0
outc_Sb_logmedian_25km,0.001383985000419889,0.0006448711639842512,0
unspec_sample_count_10km,0.0013667956189173298,0.001132794665323193,0
unspec_Bi_logmedian_25km,0.0013248398992813614,0.0010675851306563738,0
unspec_Pb_logmax_10km,0.001323758576085326,0.0003262024061616693,0
unspec_Ars_logmedian_10km,0.0013192620118930801,0.0006326241713933365,0
unspec_Cu_logmedian_10km,0.0012383552903885453,0.0009640730352135823,0
unspec_Ag_logmedian_10km,0.001221000077352408,0.0012084457028447768,0
outc_Zn_logmedian_25km,0.0012038288948938527,0.0009396615243282971,0
unspec_Bi_median_25km,0.0011923039911899108,0.0007510029049837117,0
unspec_Pb_logmedian_25km,0.0011844849075550582,0.0005533010231942089,0
unspec_Pb_max_10km,0.001174293187005113,0.000782507976669301,0
outc_W_median_25km,0.0011305081520778242,0.0008969210787549842,0
unspec_W_median_25km,0.001109829889666448,0.0012672883333159752,0
unspec_Ars_median_25km,0.00110310717452544,0.00036595934947865626,0
unspec_Ag_max_10km,0.0009834579963330739,0.0011102901402729238,0
unspec_Ars_logmedian_25km,0.0009749724540011887,0.0006815222225784611,0
unspec_Bi_median_10km,0.0009612620746844537,0.0007283615674607436,0
unspec_W_logmedian_10km,0.0009579900750128557,0.0010935044508772643,0
outc_Ars_median_25km,0.0009497573161280573,0.0008981521700757006,0
outc_Ag_median_25km,0.0009484489693017889,0.0019212050724165299,0
unspec_Bi_logmedian_10km,0.0009379171863708359,0.0007828258945752149,0
unspec_Mo_median_25km,0.000923567609599529,0.0005473288180725097,0
unspec_Mo_median_10km,0.0009026357798012228,0.00043472690950426164,0
outc_Cu_median_25km,0.00087324758515961,0.0007238327525861342,0
unspec_Mo_logmedian_25km,0.0008403559313269395,0.0006431492092497568,0
outc_Ars_logmedian_25km,0.0008386525200258829,0.00046614844704360466,0
outc_Ag_logmax_25km,0.0008127400502041205,0.0008575707126493353,0
outc_W_logmedian_25km,0.0007447318810589506,0.0007797270944612461,0
unspec_Ag_median_10km,0.0007019788754965594,0.0009135415101657658,0
unspec_Te_logmedian_10km,0.0006806104792926629,0.000808848875728812,0
unspec_Pb_median_25km,0.0006692016986600468,0.0005783063940331546,0
outc_Ag_logmedian_25km,0.0005928848624594728,0.00043959414913267606,0
outc_Mo_median_25km,0.0005574293495967843,0.0005762423454479497,0
outc_Au_median_25km,0.000546634855508117,0.0009013140127960794,0
outc_Bi_logmax_25km,0.0005325437478319483,0.0003084735563985197,0
unspec_Te_logmedian_25km,0.0004492427733743226,0.000705937490051735,0
unspec_Mo_logmedian_10km,0.0004280435276960137,0.0003858111216635457,0
outc_Au_logmedian_25km,0.000384892009011292,0.00031686259987621153,0
unspec_Te_median_25km,0.00038423270717803236,0.00033166133342648447,0
outc_Mo_logmedian_25km,0.0003165395399355191,0.00011903317387650335,0
unspec_Ag_median_25km,0.0002859652833856961,0.0003201464291462865,0
outc_Bi_max_25km,0.000265691982402542,0.00028332826305232017,0
unspec_Ag_logmedian_25km,0.00020043518918229003,0.0003418017727342289,0
unspec_Te_median_10km,0.0001688811538221292,0.00029561062549285686,0
outc_has_data_25km,8.894878418334039e-05,0.0001988955279499061,0
outc_Te_logmedian_25km,6.88642790961107e-05,0.00015398520928042132,0
outc_Te_median_25km,1.1395297652863257e-05,2.5480660175646043e-05,0
unspec_has_data_10km,0.0,0.0,0
unspec_has_data_25km,0.0,0.0,0
